City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.82,87,75,10.36,light rain
1,Bengkulu,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
2,Ourossogui,SN,15.6064,-13.3211,85.55,10,93,10.83,overcast clouds
3,Doume,CM,4.2333,13.45,73.33,33,14,1.14,few clouds
4,Sambava,MG,-14.2667,50.1667,77.79,80,100,4.38,overcast clouds
5,Arlit,NE,18.7369,7.3853,65.79,14,0,12.5,clear sky
6,Tyrma,RU,50.0833,132.1667,-22.5,100,94,1.32,overcast clouds
7,Hobart,AU,-42.8794,147.3294,54.1,73,40,6.91,scattered clouds
8,Busselton,AU,-42.8794,147.3294,54.1,73,40,6.91,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,77.94,74,100,5.93,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,1.42,60,20,29.93,few clouds
11,Sitka,US,57.0531,-135.33,37.29,93,75,4.61,mist
12,Ginir,ET,7.1333,40.7,63.23,27,99,6.62,overcast clouds
13,Victoria,HK,22.2855,114.1577,58.24,91,100,5.99,light rain
14,Atuona,PF,-23.1203,-134.9692,77.94,74,100,5.93,overcast clouds
15,Saint George,US,37.1041,-113.5841,43.63,22,40,10.0,scattered clouds
16,Totton,GB,50.9188,-1.4904,50.07,79,75,1.99,broken clouds
17,Semey,KZ,50.4111,80.2275,-6.79,92,10,1.45,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,17.44,67,87,14.97,overcast clouds
19,Lebu,CL,-53.15,-70.9167,51.82,87,75,10.36,light rain
20,Tiksi,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
21,Fortuna,US,57.0531,-135.33,37.29,93,75,4.61,mist
22,Hlotse,LS,-28.8718,28.045,66.58,50,3,0.94,clear sky
23,San Rafael Del Sur,NI,11.8485,-86.4384,90.57,36,0,12.57,clear sky
24,Paita,PE,-5.0892,-81.1144,84.76,65,5,16.2,clear sky
25,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
